Unnamed: 0,Model,Hour,nRVs,Total_Sensing_Coverage,New_Locations_Sensing_Coverage,Order_Overdue,Average_Driving_Incentive,Average_Driving_Incentive_Index,executionTime
10,bsd-tsm,10,,9121,2110,763,12.610536522300904,0.4524326069500574,1924.3938176631927
11,bsd-tsm,11,,9262,2251,946,18.55125912408776,0.5024921962540122,7692.338693857193
12,bsd-tsm,12,,9179,2168,625,14.177846371881634,0.4381472036679605,2217.793543577194
13,bsd-tsm,13,,8916,1905,546,12.20829764801261,0.410909593391254,659.0474398136139
14,bsd-tsm,14,,8602,1591,368,12.186164874551734,0.3658730558308117,267.8682641983032
15,bsd-tsm,15,,8577,1566,306,7.387493333333416,0.2999661727967957,180.9734618663788
16,bsd-tsm,16,,8617,1606,350,7.797008443908408,0.3197131337274859,214.9324927330017
17,bsd-tsm,17,,8825,1814,456,11.50558876811564,0.3634673293768037,513.4996461868286
18,bsd-tsm,18,,8829,1818,456,8.921136571952257,0.3127374049218738,496.0430154800415
19,bsd-tsm,19,,8682,1671,353,11.329160671462713,0.396301990017744,247.30094599723816
20,bsd-tsm,20,,8464,1453,261,7.529915110356616,0.2819040439166433,111.21795225143433
21,bsd-tsm,21,,8134,1123,153,9.175734463276887,0.3519391605463426,50.71072268486023
22,bsd-tsm,22,,7826,815,118,10.363559322033913,0.3573586128090333,38.18024492263794
23,bsd-tsm,23,,7493,482,67,8.486153846153828,0.2900534452600742,26.903032779693604
0,dsd-tsm,0,,8027,1016,137,2.139830508474577,0.122215377283774,16.888824224472046
1,dsd-tsm,1,,7645,634,76,3.175538461538463,0.129872612112205,13.633722066879272
2,dsd-tsm,2,,7464,453,44,6.118750000000001,0.2393484273658085,12.47104525566101
3,dsd-tsm,3,,7225,214,35,4.393333333333333,0.1377939102429424,11.991877317428589
4,dsd-tsm,4,,7227,216,20,6.665217391304348,0.2055154733489085,12.02247166633606
5,dsd-tsm,5,,7197,186,12,5.3476470588235285,0.1722257744227718,12.00776743888855
6,dsd-tsm,6,,7310,299,52,4.09836363636364,0.1150122172570924,12.985280275344849
